zip_code,latitude,longitude,affordability,property_tax,school_quality,crime_rate,walkability,commute_time
43064,40.09819,-83.28863,0.21554312294073796,1638,41.558,0.00017774617845716317,66.4,6934
43065,40.17655,-83.09445,0.25687505469284394,1966,46.424285714285716,0.00017774617845716317,622.7,18331
43066,40.39877,-83.16313,0.2787166711023115,1073,45.68214285714286,0.00017774617845716317,12.6,660
43067,40.34368,-83.48388,0.21060123542815412,1367,20.09,0.00017774617845716317,19.5,463
43068,39.95667,-82.78468,0.20982573982455235,1280,63.97222222222222,2.784584539986634e-05,1169.7,26272
43071,40.18479,-82.35509,0.28953480944508786,1017,39.18666666666667,0.00017774617845716317,26.3,1164
43072,40.1172,-83.95514,0.2703537087137298,1000,66.00333333333334,0.00017774617845716317,27.0,2607
43074,40.28008,-82.84899,0.20619222445930524,1606,30.088,0.00017774617845716317,72.3,6169
43076,39.89594,-82.39497,0.22729691759393084,1026,57.93,0.00017774617845716317,52.1,3582
43077,40.13675,-83.34165,0.42149311653677984,1072,40.21976190476191,0.00017774617845716317,673.5,85
43078,40.11302,-83.77538,0.27021158745095475,867,28.993333333333336,0.00017774617845716317,51.3,8758
43080,40.24284,-82.43126,0.23886861201367007,775,49.71666666666667,0.00017774617845716317,27.9,1862
43081,40.11064,-82.89083,0.2386764662444152,1464,45.76666666666667,2.784584539986634e-05,988.7,29562
43082,40.15537,-82.88437,0.2469059145698011,2038,52.6,0.00017774617845716317,622.9,12627
43084,40.15764,-83.54223,0.30034827860236,910,79.83,0.00017774617845716317,19.9,372
43085,40.09959,-83.01639,0.2530059266130748,1543,55.48,2.784584539986634e-05,1380.5,11791
43102,39.64076,-82.76118,0.23008723810897225,1011,41.553333333333335,0.0002633658151171978,25.6,1847
43103,39.72484,-82.93428,0.2447790721506286,1229,62.464,0.00017774617845716317,59.9,5059
43105,39.86513,-82.61826,0.19990419567771145,1214,44.303333333333335,0.0002633658151171978,61.8,3641
43106,39.6448,-83.41853,0.24205143419238304,893,58.165,0.00017774617845716317,15.3,736
43107,39.69254,-82.40993,0.25219231403640474,1001,54.42,0.0002633658151171978,45.8,1445
43110,39.82825,-82.80143,0.19209851248563894,1323,30.7,0.0002633658151171978,338.3,17126
43112,39.79719,-82.70472,0.23047739897400737,1409,37.199999999999996,0.0002633658151171978,54.0,2232
43113,39.59114,-82.96192,0.205727690886901,913,68.998,0.00017774617845716317,57.9,9887
